student_id,name,attendance,study_hours,previous_scores,assignments_completed,final_result
1,Ahmed,N/A,unknown,NaN,,fail
2,Fatima,,five,NaN,,unknown
3,Ali,36,,NaN,,fail
4,Sara,59,five,65,missing,Fail
5,Fatima,N/A,five,,11,PASS
6,Fatima,66,five,NaN,,Fail
7,Ayesha,,unknown,87,,PASS
8,Ahmed,N/A,9.4,,missing,fail
9,Unknown,67,unknown,NaN,missing,fail
10,Ahmed,,five,28,5,Fail
11,Ahmed,,five,,missing,PASS
12,Ali,,,23,missing,fail
13,Ayesha,N/A,unknown,46,,fail
14,Ali,,unknown,NaN,missing,Fail
15,Ali,,,88,6,Pass
16,Unknown,,five,,11,Pass
17,Ahmed,,,,missing,fail
18,Ali,,unknown,,,PASS
19,Zain,,7.0,64,,Fail
20,Ayesha,79,five,,missing,fail
21,John,N/A,unknown,54,,PASS
22,Unknown,,five,NaN,5,unknown
23,Sana,95,,,missing,PASS
24,Sana,,2.3,,,Pass
25,Bilal,46,,,missing,Pass
26,Ali,,unknown,,,Pass
27,Ahmed,65,five,48,7,PASS
28,Sana,,,,,PASS
29,Ahmed,62,,NaN,10,PASS
30,Zain,35,unknown,NaN,4,unknown
31,Ali,N/A,five,,,unknown
32,Fatima,,6.8,,,Pass
33,Ayesha,42,five,,missing,Fail
34,Zain,35,8.6,49,5,fail
35,Sara,68,2.4,54,,PASS
36,John,,five,32,7,Fail
37,Bilal,N/A,five,56,missing,Fail
38,John,N/A,,60,6,fail
39,Ahmed,N/A,,58,12,fail
40,John,N/A,five,71,,PASS
41,Ahmed,N/A,,,missing,Pass
42,Ali,,,79,missing,unknown
43,Unknown,47,,NaN,missing,unknown
44,Bilal,N/A,five,NaN,,fail
45,Unknown,38,4.6,23,5,PASS
46,Zain,,five,NaN,missing,Fail
47,Sara,,1.5,NaN,10,unknown
48,Ali,66,,,missing,Pass
49,John,,unknown,NaN,missing,unknown
50,Sara,N/A,,NaN,missing,Fail
51,Sana,N/A,6.7,,missing,PASS
52,John,N/A,five,,9,Fail
53,Sara,32,,56,11,PASS
54,Sara,N/A,five,29,7,unknown
55,Sana,N/A,five,67,missing,PASS
56,Sana,N/A,,,9,Pass
57,Ali,N/A,8.4,NaN,,PASS
58,Ali,,,NaN,,unknown
59,Sara,N/A,,28,missing,unknown
60,Zain,N/A,unknown,62,,Fail
61,Fatima,94,unknown,81,missing,unknown
62,John,47,unknown,33,7,fail
63,Sara,N/A,five,36,11,PASS
64,Unknown,63,,51,,unknown
65,Ahmed,,five,54,,Pass
66,Ali,N/A,five,95,missing,PASS
67,Ahmed,N/A,0.1,NaN,missing,PASS
68,Ayesha,88,,,5,Fail
69,Fatima,,unknown,NaN,missing,PASS
70,Unknown,,five,96,10,PASS
71,Ali,33,,,,PASS
72,Sana,79,,NaN,6,fail
73,Sana,,,NaN,missing,Pass
74,Ahmed,N/A,9.3,46,,unknown
75,Ali,N/A,five,NaN,,PASS
76,Ahmed,N/A,2.5,NaN,,unknown
77,Ayesha,N/A,,71,,Fail
78,Unknown,,five,NaN,3,unknown
79,Ahmed,,,36,4,PASS
80,Ahmed,45,,NaN,missing,Pass
81,Bilal,N/A,unknown,,,PASS
82,Zain,N/A,unknown,NaN,4,unknown
83,Sara,N/A,unknown,NaN,,fail
84,Ahmed,52,five,71,,Fail
85,Sara,N/A,,53,3,unknown
86,Sara,,,98,missing,Fail
87,Zain,N/A,unknown,99,,PASS
88,John,76,five,83,11,Fail
89,John,31,unknown,75,,unknown
90,Sana,N/A,five,,,Fail
91,Zain,,unknown,,missing,Fail
92,Ali,,,69,9,Fail
93,Zain,N/A,9.8,95,missing,Fail
94,Ayesha,48,five,,,Pass
95,Sara,55,6.4,,missing,PASS
96,Ayesha,,five,,6,Pass
97,Bilal,75,,NaN,3,unknown
98,Ayesha,N/A,2.1,,,Pass
99,Unknown,,five,,,fail
100,Fatima,N/A,five,59,missing,Pass
84,Ahmed,52,five,71,,Fail
54,Sara,N/A,five,29,7,unknown
71,Ali,33,,,,PASS
46,Zain,,five,NaN,missing,Fail
45,Unknown,38,4.6,23,5,PASS
